start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,number_of_page_flips
2025-08-14T17:03:19Z,2025-08-14T17:03:24Z,B002OSXNRI,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4466650029,E-Book,4500,1
Not Available,2025-08-14T09:03:21Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2025-11-03T15:07:14Z,2025-11-03T15:16:09Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4556790001,Personal Document,534800,4
2026-05-29T21:26:17Z,2026-05-30T05:22:39Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,28582500,1
2025-06-28T17:10:28Z,2025-06-28T17:10:32Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,4000,1
2025-09-25T17:51:07Z,2025-09-25T17:51:28Z,B00O1E3XYQ,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191416970,E-Book,21100,4
2026-06-02T15:20:27Z,2026-06-02T16:50:13Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,5386000,1
2026-06-02T12:04:54Z,2026-06-02T12:05:24Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,30300,1
2026-06-02T12:08:28Z,2026-06-02T12:09:16Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,48400,1
2026-06-04T05:02:09Z,2026-06-04T05:40:28Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4670750040,Personal Document,2299200,68
Not Available,2025-06-27T11:26:40Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-05-29T09:03:51Z,2026-05-29T09:04:00Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,8700,2
2026-01-27T17:25:11Z,2026-01-27T17:25:25Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,13100,2
Not Available,2026-05-24T20:40:20Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2026-01-27T16:56:47Z,2026-01-27T16:57:03Z,B0D12WJTBY,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,E-Book Sample,16300,2
Not Available,2026-05-24T20:50:51Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2026-05-23T11:44:57Z,2026-05-23T13:22:53Z,1425249FF5C74B06BA48048D7DF125E3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4670750040,Personal Document,5876700,217
2026-01-26T23:10:31Z,2026-01-26T23:11:17Z,B015MQS30K,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,E-Book Sample,46400,33
2025-06-08T03:53:19Z,2025-06-08T04:04:34Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,675400,18
2026-03-19T13:36:37Z,2026-03-19T13:37:52Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,74600,2
2025-06-30T01:31:50Z,2025-06-30T01:36:14Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,264600,8
2025-10-26T15:17:19Z,2025-10-26T15:17:22Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4556790001,Personal Document,3100,1
2026-01-31T06:08:55Z,2026-01-31T07:10:18Z,23333B3D8D3649CEAAF7BB6797A0DF0A,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,3682700,60
2025-06-30T01:00:06Z,2025-06-30T01:16:04Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,957900,10
2025-10-03T11:28:11Z,2025-10-03T11:28:15Z,C33EAA6122644BA2A23308C0F09239A3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,Personal Document,4600,1
2025-06-07T05:32:03Z,2025-06-07T05:32:05Z,B0C5879F526A41B087D19B2C20C6E531,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,2100,1
2026-06-03T12:55:28Z,2026-06-03T12:55:43Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4670750040,Personal Document,14500,1
2026-06-02T12:09:28Z,2026-06-02T12:09:29Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,1000,1
Not Available,2026-01-26T23:10:23Z,CBDF7364B33944479B6871B680697E65,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-01-04T23:02:44Z,2026-01-04T23:03:10Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,26100,1
2025-06-28T12:56:04Z,2025-06-28T12:56:06Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,2800,1
2026-02-15T22:48:38Z,2026-02-15T23:30:42Z,23333B3D8D3649CEAAF7BB6797A0DF0A,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,2523900,47
2026-05-29T09:13:51Z,2026-05-29T09:15:06Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,74900,1
2026-06-02T12:19:00Z,2026-06-02T12:35:07Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,966700,1
Not Available,2026-01-27T17:16:32Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
Not Available,2026-05-24T20:45:03Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2026-01-13T20:29:39Z,2026-01-13T21:31:10Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,3691800,89
2026-06-03T12:05:06Z,2026-06-03T13:22:45Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,4659100,1
Not Available,2026-06-03T12:11:41Z,DC9F5DCCD48B488FBA54134E22360029,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-02-20T15:30:20Z,2026-02-20T15:37:49Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,448700,9
2025-06-28T18:25:37Z,2025-06-28T18:28:42Z,7126CCDF4DE44E309CABCF30E08EC099,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,184400,8
2025-12-10T07:59:25Z,2025-12-10T07:59:37Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,11500,1
2025-07-06T19:24:22Z,2025-07-06T19:58:49Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,2067200,56
2025-10-02T19:06:29Z,2025-10-02T19:19:59Z,C33EAA6122644BA2A23308C0F09239A3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,Personal Document,810000,7
Not Available,2025-12-10T07:34:56Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-06-02T11:47:58Z,2026-06-02T11:47:59Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,900,1
2026-06-03T04:33:11Z,2026-06-03T04:40:10Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191419274,Personal Document,418800,14
Not Available,2025-10-02T13:58:48Z,C33EAA6122644BA2A23308C0F09239A3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-05-28T04:24:39Z,2026-05-28T04:24:44Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191419274,Personal Document,4100,1
2025-10-03T11:32:10Z,2025-10-03T11:45:35Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,Personal Document,804400,6
2025-10-02T17:27:40Z,2025-10-02T17:27:45Z,C33EAA6122644BA2A23308C0F09239A3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,Personal Document,5100,1
2026-06-02T11:31:48Z,2026-06-02T11:31:50Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,2100,1
2026-01-27T17:14:37Z,2026-01-27T17:15:01Z,B0D12WJTBY,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,E-Book Sample,23900,1
Not Available,2026-05-24T20:39:15Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2025-10-01T16:57:31Z,2025-10-01T16:57:55Z,B00O1E3XYQ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,E-Book,24600,3
2026-05-31T21:34:32Z,2026-06-01T04:24:41Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,24608900,1
2025-06-08T04:09:45Z,2025-06-08T04:24:18Z,B015MQS30K,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,E-Book Sample,873100,23
2025-06-28T13:00:59Z,2025-06-28T13:01:06Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,7500,3
2025-06-27T11:26:05Z,2025-06-27T11:26:17Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,12000,1
Not Available,2025-07-06T19:58:49Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-01-15T08:25:26Z,2026-01-15T08:25:31Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,5500,1
2026-02-21T04:50:47Z,2026-02-21T04:56:50Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,363200,2
2025-10-02T17:33:14Z,2025-10-02T18:04:02Z,C33EAA6122644BA2A23308C0F09239A3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,Personal Document,1847100,13
2025-10-01T20:20:17Z,2025-10-01T20:20:44Z,B00O1E3XYQ,www.amazon.com,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,E-Book,27000,2
2026-06-02T08:43:42Z,2026-06-02T09:53:14Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,4171600,1
2025-06-28T17:10:59Z,2025-06-28T17:12:01Z,B015MQS30K,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,E-Book Sample,62400,11
2026-05-28T04:25:13Z,2026-05-28T04:25:16Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191419274,Personal Document,3300,3
Not Available,2026-06-03T04:29:57Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2026-05-24T20:36:02Z,2026-05-24T20:39:27Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191419274,Personal Document,205800,37
2026-01-30T14:39:01Z,2026-01-30T14:43:26Z,23333B3D8D3649CEAAF7BB6797A0DF0A,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,265000,13
2026-01-14T15:18:31Z,2026-01-14T16:06:56Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,2905200,71
2026-02-20T15:37:56Z,2026-02-20T16:00:19Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,1342500,24
2025-10-02T18:54:59Z,2025-10-02T19:06:19Z,C33EAA6122644BA2A23308C0F09239A3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4527780001,Personal Document,680200,4
2026-01-13T18:06:33Z,2026-01-13T18:16:33Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,600000,1
2026-02-20T16:53:44Z,2026-02-20T16:53:55Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,11200,1
2026-02-23T03:45:56Z,2026-02-23T04:03:54Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,1078300,15
Not Available,2025-06-10T11:10:44Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
Not Available,2025-06-30T01:16:04Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-02-14T18:11:21Z,2026-02-14T19:01:42Z,23333B3D8D3649CEAAF7BB6797A0DF0A,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,3021300,63
Not Available,2025-10-16T23:56:10Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-06-03T12:55:46Z,2026-06-03T12:55:56Z,CBDF7364B33944479B6871B680697E65,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4670750040,Personal Document,10000,2
Not Available,2025-10-25T09:54:40Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2026-03-19T13:30:34Z,2026-03-19T13:36:07Z,225DCE15EFF44547BF43D741F95DA6BF,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,333000,1
2026-06-03T12:57:48Z,2026-06-03T12:57:59Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4670750040,Personal Document,10700,1
2025-10-26T02:41:40Z,2025-10-26T02:41:46Z,B00O1E3XYQ,www.amazon.com,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191417306,E-Book,6600,4
2026-06-03T13:23:22Z,2026-06-03T13:46:23Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,1380200,1
2026-01-26T01:09:05Z,2026-01-26T01:32:32Z,CBDF7364B33944479B6871B680697E65,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,1407000,19
2026-05-25T21:49:52Z,2026-05-25T22:08:53Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191419274,Personal Document,1141100,16
2026-01-27T17:10:44Z,2026-01-27T17:10:59Z,B0DJHSDHDH,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,E-Book Sample,14600,1
2026-02-12T23:30:33Z,2026-02-13T00:40:07Z,23333B3D8D3649CEAAF7BB6797A0DF0A,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,4173900,76
2026-06-04T09:31:33Z,2026-06-04T09:31:34Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,1200,1
2025-10-26T02:41:55Z,2025-10-26T02:42:10Z,1B68B6C2EEFD4CAB979E596C12167ED2,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,1191417306,Personal Document,15000,1
2026-01-04T22:50:30Z,2026-01-04T22:50:35Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,5400,1
2025-06-30T16:45:38Z,2025-06-30T16:49:09Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4446290017,Personal Document,210200,1
2026-06-04T08:35:07Z,2026-06-04T08:35:39Z,2B5C08450D2B4FB3B323F25384F94EB6,,www.amazon.com,Kindle for Mac,74153E981358530EA9DD064C2B3B848A,1191418634,Personal Document,31600,1
2025-11-03T15:06:42Z,2025-11-03T15:06:46Z,226B133AC0FC463185E57561BF84791C,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4556790001,Personal Document,4700,1
Not Available,2026-05-25T21:54:57Z,740A4726C2A34CBAA8C20AC672F5D604,,www.amazon.com,,0B671A09510D489380FB769AAF4CF99C,,Personal Document,,
2026-02-11T07:06:56Z,2026-02-11T07:54:43Z,23333B3D8D3649CEAAF7BB6797A0DF0A,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,2867200,49
Not Available,2025-06-30T00:05:36Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,,Personal Document,,
2025-06-08T17:49:08Z,2025-06-08T17:50:47Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,Personal Document,98500,2
2026-01-26T23:11:19Z,2026-01-26T23:52:29Z,B0D12WJTBY,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,E-Book Sample,2469700,39
2026-01-13T13:36:15Z,2026-01-13T15:23:21Z,73A796BDD6EF4375A531DBB4A9113875,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,6426000,141
2026-01-27T17:25:32Z,2026-01-27T17:25:42Z,1425249FF5C74B06BA48048D7DF125E3,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4586150041,Personal Document,9500,1
2025-06-08T04:06:01Z,2025-06-08T04:09:35Z,B0D12WJTBY,,www.amazon.com,Kindle E-reader,G093KM05425503M5,4417570025,E-Book Sample,214100,9
